Downloaded from wid.world on 27-01-2021 at 22:15:42
Country Code;Country Name;WID Variable code;Percentile group;Unit;Variable name;Intuitive description;Technical description;Methodological Notes;Sources
GR;Greece;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980: extrapolated distribution + tax data, 1981: survey + concept correction + tax data, 1982-1987: interpolated survey + concept correction + tax data, 1988: survey + concept correction + tax data, 1989-1993: interpolated survey + concept correction + tax data, 1994-2001: survey + concept correction + tax data, 2002: interpolated survey + concept correction + tax data, 2003-2005: survey + concept correction + tax data, 2006-2017: survey + tax data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"[URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; [URL][URL_LINK]http://wid.world/document/methodological-note-for-the-calculation-of-top-income-shares-in-greece-1967-2017-wid-world-technical-note-2019-01/[/URL_LINK][URL_TEXT]Chrissis, K. and Koutentakis, F. (2019), Methodological note for the calculation of top income shares in Greece (1967-2017)[/URL_TEXT][/URL];"
IE;Ireland;sptinc992j;p90p100;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980: survey + concept correction + tax data, 1981-1986: interpolated survey + concept correction + tax data, 1987: survey + concept correction + tax data, 1988-1993: interpolated survey + concept correction + tax data, 1994-1996: survey + concept correction + tax data, 1997-1999: interpolated survey + concept correction + tax data, 2000: survey + concept correction + tax data, 2001-2003: interpolated survey + concept correction + tax data, 2004-2015: survey + tax data, 2016-2017: extrapolated distribution using survey data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"[URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; ;"
IE;Ireland;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980: survey + concept correction + tax data, 1981-1986: interpolated survey + concept correction + tax data, 1987: survey + concept correction + tax data, 1988-1993: interpolated survey + concept correction + tax data, 1994-1996: survey + concept correction + tax data, 1997-1999: interpolated survey + concept correction + tax data, 2000: survey + concept correction + tax data, 2001-2003: interpolated survey + concept correction + tax data, 2004-2015: survey + tax data, 2016-2017: extrapolated distribution using survey data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"[URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; ;"
IT;Italy;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980: extrapolated distribution + tax data, 1981-1982: survey + concept correction + tax data, 1983-1985: interpolated survey + concept correction + tax data, 1986-1987: survey + concept correction + tax data, 1988: interpolated survey + concept correction + tax data, 1989: survey + concept correction + tax data, 1990: interpolated survey + concept correction + tax data, 1991: survey + concept correction + tax data, 1992: interpolated survey + concept correction + tax data, 1993: survey + concept correction + tax data, 1994: interpolated survey + concept correction + tax data, 1995: survey + concept correction + tax data, 1996-1997: interpolated survey + concept correction + tax data, 1998: survey + concept correction + tax data, 1999: interpolated survey + concept correction + tax data, 2000: survey + concept correction + tax data, 2001: interpolated survey + concept correction + tax data, 2002-2005: survey + concept correction + tax data, 2006-2008: survey + tax data, 2009: interpolated survey + tax data, 2010-2016: survey + tax data, 2017: extrapolated distribution using survey data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"[URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; Alvaredo, Facundo and Pisano, Elena (2010). Top Incomes in Italy 1974-2004; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 12. Series updated by the same authors.;"
IT;Italy;sptinc992j;p90p100;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980: extrapolated distribution + tax data, 1981-1982: survey + concept correction + tax data, 1983-1985: interpolated survey + concept correction + tax data, 1986-1987: survey + concept correction + tax data, 1988: interpolated survey + concept correction + tax data, 1989: survey + concept correction + tax data, 1990: interpolated survey + concept correction + tax data, 1991: survey + concept correction + tax data, 1992: interpolated survey + concept correction + tax data, 1993: survey + concept correction + tax data, 1994: interpolated survey + concept correction + tax data, 1995: survey + concept correction + tax data, 1996-1997: interpolated survey + concept correction + tax data, 1998: survey + concept correction + tax data, 1999: interpolated survey + concept correction + tax data, 2000: survey + concept correction + tax data, 2001: interpolated survey + concept correction + tax data, 2002-2005: survey + concept correction + tax data, 2006-2008: survey + tax data, 2009: interpolated survey + tax data, 2010-2016: survey + tax data, 2017: extrapolated distribution using survey data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"[URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; Alvaredo, Facundo and Pisano, Elena (2010). Top Incomes in Italy 1974-2004; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 12. Series updated by the same authors.;"
JP;Japan;sptinc992j;p90p100;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1990, pretax income shares retropolated based on fiscal income: see source.;"Marc Jenmana; Rowaida Moshrif and Li Yang(2020),“Regional DINA update for Asia”; Moriguchi, Chiaki and Saez, Emmanuel (2010). The Evolution of Income Concentration in Japan 1886-2005; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 3, pp. 76-170. Series updated by Facundo Alvaredo, Chiaki Moriguchi and Emmanuel Saez (2012, Methodological Notes).;"
JP;Japan;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Before 1990, pretax income shares retropolated based on fiscal income: see source.;"Marc Jenmana; Rowaida Moshrif and Li Yang(2020),“Regional DINA update for Asia”; Moriguchi, Chiaki and Saez, Emmanuel (2010). The Evolution of Income Concentration in Japan 1886-2005; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 3, pp. 76-170. Series updated by Facundo Alvaredo, Chiaki Moriguchi and Emmanuel Saez (2012, Methodological Notes).;"
NO;Norway;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980-1985: interpolated survey + concept correction + tax data, 1986: survey + concept correction + tax data, 1987-1990: interpolated survey + concept correction + tax data, 1991: survey + concept correction + tax data, 1992-1994: interpolated survey + concept correction + tax data, 1995: survey + concept correction + tax data, 1996-1999: interpolated survey + concept correction + tax data, 2000: survey + concept correction + tax data, 2001-2002: interpolated survey + concept correction + tax data, 2003-2004: survey + tax data, 2005: interpolated survey + tax data, 2006-2011: survey + tax data, 2012-2017: extrapolated distribution using survey data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"[URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; Aaberge, Rolf and Atkinson, Anthony B. (2010). Top Incomes in Norway; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 9. Aaberge, Rolf and Atkinson, Anthony B. and Modalsli, Jørgen (2013). The ins and outs of top income mobility; Statistics Norway Research Department Discussion Papers n. 762, October. Series updated by the same authors.;"
NO;Norway;sptinc992j;p90p100;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980-1985: interpolated survey + concept correction + tax data, 1986: survey + concept correction + tax data, 1987-1990: interpolated survey + concept correction + tax data, 1991: survey + concept correction + tax data, 1992-1994: interpolated survey + concept correction + tax data, 1995: survey + concept correction + tax data, 1996-1999: interpolated survey + concept correction + tax data, 2000: survey + concept correction + tax data, 2001-2002: interpolated survey + concept correction + tax data, 2003-2004: survey + tax data, 2005: interpolated survey + tax data, 2006-2011: survey + tax data, 2012-2017: extrapolated distribution using survey data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"[URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; Aaberge, Rolf and Atkinson, Anthony B. (2010). Top Incomes in Norway; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 9. Aaberge, Rolf and Atkinson, Anthony B. and Modalsli, Jørgen (2013). The ins and outs of top income mobility; Statistics Norway Research Department Discussion Papers n. 762, October. Series updated by the same authors.;"
ES;Spain;sptinc992j;p90p100;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1981-1984: interpolated survey + concept correction + tax data, 1985: survey + concept correction + tax data, 1986-1989: interpolated survey + concept correction + tax data, 1990: survey + concept correction + tax data, 1991-1994: interpolated survey + concept correction + tax data, 1995: survey + concept correction + tax data, 1996-1999: interpolated survey + concept correction + tax data, 2000: survey + concept correction + tax data, 2001-2003: interpolated survey + concept correction + tax data, 2004: survey + concept correction + tax data, 2005: interpolated survey + concept correction + tax data, 2006-2008: survey + concept correction + tax data, 2009-2012: survey + tax data, 2013-2017: extrapolated distribution using survey data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"[URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; Alvaredo, Facundo and Saez, Emmanuel (2009). Income and Wealth Concentration in Spain from a Historical and Fiscal Perspective; Journal of the European Economic Association, 7(5): 1140-1167. Longer version in Atkinson, B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, 2010, chapter 10. Series updated by the same authors.;"
ES;Spain;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1981-1984: interpolated survey + concept correction + tax data, 1985: survey + concept correction + tax data, 1986-1989: interpolated survey + concept correction + tax data, 1990: survey + concept correction + tax data, 1991-1994: interpolated survey + concept correction + tax data, 1995: survey + concept correction + tax data, 1996-1999: interpolated survey + concept correction + tax data, 2000: survey + concept correction + tax data, 2001-2003: interpolated survey + concept correction + tax data, 2004: survey + concept correction + tax data, 2005: interpolated survey + concept correction + tax data, 2006-2008: survey + concept correction + tax data, 2009-2012: survey + tax data, 2013-2017: extrapolated distribution using survey data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"[URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; Alvaredo, Facundo and Saez, Emmanuel (2009). Income and Wealth Concentration in Spain from a Historical and Fiscal Perspective; Journal of the European Economic Association, 7(5): 1140-1167. Longer version in Atkinson, B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, 2010, chapter 10. Series updated by the same authors.;"
SE;Sweden;sptinc992j;p90p100;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980: interpolated survey + concept correction + tax data, 1981: survey + concept correction + tax data, 1982-1986: interpolated survey + concept correction + tax data, 1987: survey + concept correction + tax data, 1988-1991: interpolated survey + concept correction + tax data, 1992: survey + concept correction + tax data, 1993-1994: interpolated survey + concept correction + tax data, 1995: survey + concept correction + tax data, 1996-1999: interpolated survey + concept correction + tax data, 2000: survey + concept correction + tax data, 2001-2002: interpolated survey + concept correction + tax data, 2003-2013: survey + tax data, 2014-2017: extrapolated distribution using survey data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"[URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; Roine, Jesper and Waldenström, Daniel (2010). Top Incomes in Sweden over the Twentieth Century; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 7. Series updated by the same authors.;"
SE;Sweden;sptinc992j;p0p50;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1980: interpolated survey + concept correction + tax data, 1981: survey + concept correction + tax data, 1982-1986: interpolated survey + concept correction + tax data, 1987: survey + concept correction + tax data, 1988-1991: interpolated survey + concept correction + tax data, 1992: survey + concept correction + tax data, 1993-1994: interpolated survey + concept correction + tax data, 1995: survey + concept correction + tax data, 1996-1999: interpolated survey + concept correction + tax data, 2000: survey + concept correction + tax data, 2001-2002: interpolated survey + concept correction + tax data, 2003-2013: survey + tax data, 2014-2017: extrapolated distribution using survey data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"[URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; Roine, Jesper and Waldenström, Daniel (2010). Top Incomes in Sweden over the Twentieth Century; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 7. Series updated by the same authors.;"
CH;Switzerland;sptinc992j;p90p100;share;Pre-tax national income. Share Adults. equal-split adults;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Summary of data construction by year (see source for details): 1981: extrapolated distribution + tax data, 1982: survey + concept correction + interpolated tax data, 1983: interpolated survey + concept correction + tax data, 1984: interpolated survey + concept correction + interpolated tax data, 1985: interpolated survey + concept correction + tax data, 1986: interpolated survey + concept correction + interpolated tax data, 1987: interpolated survey + concept correction + tax data, 1988: interpolated survey + concept correction + interpolated tax data, 1989: interpolated survey + concept correction + tax data, 1990: interpolated survey + concept correction + interpolated tax data, 1991: interpolated survey + concept correction + tax data, 1992: survey + concept correction + interpolated tax data, 1993: interpolated survey + concept correction + tax data, 1994: interpolated survey + concept correction + interpolated tax data, 1995-1999: interpolated survey + concept correction + tax data, 2000: survey + concept correction + tax data, 2001: interpolated survey + concept correction + tax data, 2002: survey + concept correction + tax data, 2003: interpolated survey + concept correction + tax data, 2004: survey + concept correction + tax data, 2005: interpolated survey + concept correction + tax data, 2006-2014: survey + tax data, 2015-2017: extrapolated distribution using survey data, 2018-2019: extrapolated distribution. Before 1980, pretax income shares retropolated based on fiscal income: see source.;"Before 1980,  [URL][URL_LINK]https://wid.world/document/dell-fabien-piketty-thomas-and-saez-emmanuel-2007-income-and-wealth-concentration-in-switzerland-over-the-twentieth-century-in-atkinson-a-b-and-piketty-t-editors-top-incomes-over-t/[/URL_LINK][URL_TEXT] Dell, F., Piketty, T., Saez, E., Income and Wealth Concentration in Switzerland over the Twentieth Century, Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, OUP, 2007[/URL_TEXT][/URL]After 1980, [URL][URL_LINK]https://wid.world/document/why-is-europe-more-equal-than-the-united-states-world-inequality-lab-wp-2020-19/[/URL_LINK][URL_TEXT]Blanchet, Chancel and Gethin (2020), “Why is Europe less Unequal than the US?”[/URL_TEXT][/URL][URL][URL_LINK]http://wordpress.wid.world/document/2020-dina-update-for-europe-world-inequality-lab-technical-note-2020-04/[/URL_LINK][URL_TEXT] Updated by Morgan and Neef, “Regional DINA update for Europe”(2020))[/URL_TEXT][/URL]; Dell, Fabien;"
